name,value
Bioengineering (BIOENGR),106.35
Islamic Studies (ISLM ST),75.0
Life Sciences (LIFESCI),72.5
Education (EDUC),186.36
Music History (MSC HST),123.33
Engineering (ENGR),105.0
Civic Engagement (CIVIC),170.0
Conservation of Archaeological and Ethnographic Materials (CAEM),170.0
International Development Studies (INTL DV),170.0
Latin American Studies (LATN AM),170.0
Jewish Studies (JEWISH),84.0
Indo-European Studies (I E STD),86.67
Southeast Asian (SEASIAN),170.0
Aerospace Studies (AERO ST),110.0
Hungarian (HNGAR),110.0
Polish (POLSH),78.33
Turkic Languages (TURKIC),130.0
Neurobiology (NEURBIO),50.0
Mathematics (MATH),66.37
"Earth, Planetary, and Space Sciences (EPS SCI)",77.0
Disability Studies (DIS STD),132.5
Public Policy (PUB PLC),125.0
Scandinavian (SCAND),82.5
Environmental Health Sciences (ENV HLT),117.5
Iranian,83.0
Computer Science (COM SCI),113.37
Statistics (STATS),81.36
Electrical Engineering (EL ENGR),106.18
Sociology (SOCIOL),117.23
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS)",105.0
Civil and Environmental Engineering (C&EE),105.0
Neuroscience (Graduate) (NEURO),90.0
Political Science (POL SCI),113.04
Italian,86.54
Art,203.91
Nursing,161.84
University Studies (UNIV ST),110.0
History (HIST),117.02
Psychology (PSYCH),89.04
Chinese (CHIN),86.18
Vietnamese (VIETMSE),75.0
Chemistry and Biochemistry (CHEM),75.78
Physics and Biology in Medicine (PBMED),95.0
Physiological Science (PHYSCI),106.5
Korean (KOREA),94.0
Middle Eastern Studies (M E STD),75.0
Philosophy (PHILOS),115.86
Art History (ART HIS),128.33
Neuroscience (NEUROSC),84.17
Mechanical and Aerospace Engineering (MECH&AE),109.78
Ethnomusicology (ETHNMUS),138.36
Naval Science (NAV SCI),120.0
Spanish (SPAN),116.62
"Molecular, Cellular, and Integrative Physiology (MC&IP)",110.0
Latin,78.33
Epidemiology (EPIDEM),120.0
Economics (ECON),81.64
Honors Collegium (HNRS),118.95
Biological Chemistry (BIOL CH),80.0
Human Genetics (HUM GEN),90.0
Oral Biology (ORL BIO),81.43
South Asian (S ASIAN),75.0
Thai,75.0
Biomedical Research (BMD RES),112.86
Psychiatry and Biobehavioral Sciences (PSYCTRY),103.33
Theater,156.6
Bioinformatics (Graduate) (BIOINFO),98.0
Design / Media Arts (DESMA),158.42
Armenian (ARMENIA),117.14
Greek,86.0
African American Studies (AF AMER),111.67
Urban Planning (URBN PL),133.16
International and Area Studies (I A STD),113.13
Physiology (PHYSIOL),90.0
Musicology (MUSCLG),178.57
Chicana and Chicano Studies (CHICANO),135.0
Indonesian (INDO),75.0
Dance,105.5
World Arts and Cultures (WL ARTS),119.79
Archaeology (ARCHEOL),185.0
Arabic,114.17
Japanese (JAPAN),88.57
Program in Computing (COMPTNG),50.0
Classics (CLASSIC),84.38
Swahili,70.0
Atmospheric and Oceanic Sciences (A&O SCI),76.67
Anthropology (ANTHRO),118.27
"Molecular, Cell, and Developmental Biology (MCD BIO)",87.33
Music Industry (MSC IND),144.29
Pathology and Laboratory Medicine (PATH),80.0
Environment (ENVIRON),99.06
Applied Linguistics (APPLING),110.0
Comparative Literature (COM LIT),104.62
Semitic,122.5
Filipino (FILIPNO),75.0
Asian American Studies (ASIA AM),111.94
French (FRNCH),83.57
Arts and Architecture (ART&ARC),170.0
Romanian (ROMANIA),145.0
Materials Science and Engineering (MAT SCI),124.71
Medicine (MED),110.0
Biomathematics (BIOMATH),93.33
Portuguese (PORTGSE),116.25
Gender Studies (GENDER),104.44
Biostatistics (BIOSTAT),101.76
Health Policy and Management (HLT POL),132.11
English (ENGL),121.36
Molecular and Medical Pharmacology (M PHARM),100.0
Indigenous Languages of the Americas (IL AMER),117.5
Gerontology (GRNTLGY),110.0
Social Welfare (SOC WLF),141.09
Global Studies (GLBL ST),139.0
German,95.0
Near Eastern Languages (NR EAST),75.0
Music (MUSC),130.98
Ecology and Evolutionary Biology (EE BIOL),88.33
Public Health (PUB HLT),125.0
Management (MGMT),128.79
Labor and Workplace Studies (LBR&WS),155.0
American Sign Language (ASL),80.0
Science Education (SCI EDU),80.0
Dutch,50.0
American Indian Studies (AM IND),121.88
Ancient Near East (AN N EA),96.92
Yiddish (YIDDSH),110.0
Hindi-Urdu (HIN-URD),75.0
Community Health Sciences (COM HLT),151.58
"Religion, Study of (RELIGN)",75.71
English Composition (ENGCOMP),118.89
Serbian/Croatian (SRB CRO),71.67
African Studies (AFRC ST),170.0
Molecular Biology (MOL BIO),110.0
Law,114.64
Clusters (CLUSTER),73.0
Astronomy (ASTR),78.89
International Migration Studies (I M STD),170.0
Military Science (MIL SCI),117.5
Hebrew,58.33
Geography (GEOG),111.35
Linguistics (LING),104.72
Communication (COMM),98.5
Physics,86.3
Architecture and Urban Design (ARCH&UD),161.79
Chemical Engineering (CH ENGR),91.86
"Microbiology, Immunology, and Molecular Genetics (MIMG)",98.33
Molecular Toxicology (MOL TOX),50.0
Arts Education (ARTS ED),170.0
English as A Second Language (ESL),110.0
Slavic (SLAVC),85.0
Film and Television (FILM TV),170.38
Society and Genetics (SOC GEN),94.0
Asian,117.22
Information Studies (INF STD),182.5
Central and East European Studies (C&EE ST),75.0
Digital Humanities (DGT HUM),75.0
Russian (RUSSN),83.46
