major,average lecture time (one day),average num of days a week,average lecture time (one week)
,,,
Bioengineering (BIOENGR),108.94,1.82,198.07
Islamic Studies (ISLM ST),75.0,2.0,150.0
Life Sciences (LIFESCI),71.33,2.2,156.93
Education (EDUC),168.25,1.16,194.81
Management-Master of Financial Engineering (MGMTMFE),150.0,1.25,187.5
Music History (MSC HST),133.08,1.46,194.5
Engineering (ENGR),100.0,1.67,166.67
Civic Engagement (CIVIC),122.5,1.5,183.75
Conservation of Archaeological and Ethnographic Materials (CAEM),190.0,1.33,253.33
International Development Studies (INTL DV),127.0,1.6,203.2
Latin American Studies (LATN AM),140.0,1.5,210.0
Jewish Studies (JEWISH),89.0,2.0,178.0
Indo-European Studies (I E STD),82.0,2.0,164.0
Aerospace Studies (AERO ST),106.0,1.2,127.2
Polish (POLSH),92.5,1.5,138.75
Turkic Languages (TURKIC),130.0,1.67,216.67
Neurobiology (NEURBIO),108.33,1.67,180.56
Mathematics (MATH),61.6,2.62,161.3
"Earth, Planetary, and Space Sciences (EPS SCI)",88.85,1.77,157.19
Disability Studies (DIS STD),70.0,2.0,140.0
Public Policy (PUB PLC),128.41,1.41,180.94
Scandinavian (SCAND),99.58,1.75,174.27
Environmental Health Sciences (ENV HLT),128.95,1.47,190.03
Iranian,89.0,2.2,195.8
Computer Science (COM SCI),112.79,1.95,220.34
Statistics (STATS),83.45,1.97,164.02
Electrical Engineering (EL ENGR),110.0,2.0,220.0
Sociology (SOCIOL),110.0,1.48,162.61
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS)",98.33,2.0,196.67
Civil and Environmental Engineering (C&EE),103.48,1.88,194.43
Neuroscience (Graduate) (NEURO),70.0,1.29,90.0
Political Science (POL SCI),128.11,1.56,199.52
Italian,86.67,2.17,187.78
Art,211.36,1.64,345.87
Nursing,174.44,1.03,179.29
University Studies (UNIV ST),92.5,2.0,185.0
History (HIST),122.09,1.57,191.09
Psychology (PSYCH),97.83,1.57,153.23
Chinese (CHIN),91.76,1.82,167.34
Vietnamese (VIETMSE),98.75,1.75,172.81
Chemistry and Biochemistry (CHEM),70.0,2.16,151.35
Physics and Biology in Medicine (PBMED),92.0,1.8,165.6
Physiological Science (PHYSCI),101.82,1.82,185.12
Korean (KOREA),87.67,1.87,163.64
Middle Eastern Studies (M E STD),75.0,2.0,150.0
Art History (ART HIS),97.92,1.58,155.03
Neuroscience (NEUROSC),108.33,1.83,198.61
Mechanical and Aerospace Engineering (MECH&AE),113.54,1.9,216.0
Ethnomusicology (ETHNMUS),141.74,1.17,165.37
Naval Science (NAV SCI),120.0,1.67,200.0
Spanish (SPAN),114.71,1.77,203.21
"Molecular, Cellular, and Integrative Physiology (MC&IP)",90.0,2.0,180.0
Latin,71.25,2.5,178.13
Epidemiology (EPIDEM),126.32,1.47,186.15
Economics (ECON),89.48,1.48,132.48
Honors Collegium (HNRS),119.04,1.31,155.67
Biological Chemistry (BIOL CH),74.17,1.33,98.89
Human Genetics (HUM GEN),125.0,1.75,218.75
Oral Biology (ORL BIO),76.0,1.2,91.2
Thai,76.67,2.0,153.33
Biomedical Research (BMD RES),108.0,1.6,172.8
Psychiatry and Biobehavioral Sciences (PSYCTRY),130.0,1.0,130.0
Theater,151.4,1.61,244.26
Bioinformatics (Graduate) (BIOINFO),110.0,2.0,220.0
Design / Media Arts (DESMA),155.83,1.72,268.38
Armenian (ARMENIA),121.25,1.88,227.34
Greek,98.33,2.0,196.67
African American Studies (AF AMER),117.81,1.56,184.08
Urban Planning (URBN PL),146.3,1.3,189.64
International and Area Studies (I A STD),95.63,2.0,191.25
Physiology (PHYSIOL),110.0,2.0,220.0
Musicology (MUSCLG),148.0,1.2,177.6
Chicana and Chicano Studies (CHICANO),127.11,1.66,210.73
Indonesian (INDO),86.67,1.67,144.44
Dance,110.83,1.97,218.59
World Arts and Cultures (WL ARTS),130.59,1.65,215.09
Archaeology (ARCHEOL),160.0,1.33,213.33
Arabic,98.57,2.0,197.14
Japanese (JAPAN),94.0,1.8,169.2
Program in Computing (COMPTNG),55.0,2.83,155.83
Classics (CLASSIC),92.67,1.6,148.27
Swahili,71.67,2.67,191.11
Atmospheric and Oceanic Sciences (A&O SCI),93.48,1.83,170.7
Anthropology (ANTHRO),115.74,1.47,169.92
"Molecular, Cell, and Developmental Biology (MCD BIO)",91.75,2.05,188.09
Music Industry (MSC IND),166.25,1.38,228.59
Pathology and Laboratory Medicine (PATH),110.0,2.0,220.0
Environment (ENVIRON),115.94,1.44,166.66
Social Thought (SOC THT),170.0,1.0,170.0
Applied Linguistics (APPLING),110.0,2.0,220.0
Comparative Literature (COM LIT),123.75,1.5,185.63
Semitic,86.67,1.67,144.44
Filipino (FILIPNO),75.0,2.0,150.0
Asian American Studies (ASIA AM),138.52,1.3,179.56
French (FRNCH),78.7,2.3,181.34
Arts and Architecture (ART&ARC),98.33,2.0,196.67
Materials Science and Engineering (MAT SCI),123.13,1.81,223.16
Medicine (MED),75.0,2.0,150.0
Biomathematics (BIOMATH),95.0,1.75,166.25
Portuguese (PORTGSE),122.22,1.67,203.7
Gender Studies (GENDER),103.2,1.72,177.5
Biostatistics (BIOSTAT),95.88,1.94,186.12
Health Policy and Management (HLT POL),126.54,1.42,180.07
Management-PhD (MGMTPHD),116.92,1.0,116.92
English (ENGL),120.0,1.69,202.8
Molecular and Medical Pharmacology (M PHARM),98.0,1.6,156.8
Indigenous Languages of the Americas (IL AMER),98.33,2.33,229.44
Social Welfare (SOC WLF),126.52,1.83,231.04
Global Studies (GLBL ST),86.25,1.25,107.81
German,76.25,2.06,157.27
Near Eastern Languages (NR EAST),138.33,1.33,184.44
Afrikaans (AFRKAAN),170.0,1.0,170.0
Music (MUSC),130.54,1.37,179.03
Electrical and Computer Engineering (EC ENGR),108.27,1.81,195.72
Ecology and Evolutionary Biology (EE BIOL),93.52,1.63,152.4
Public Health (PUB HLT),130.0,1.33,173.33
Management (MGMT),145.88,1.24,180.21
Labor and Workplace Studies (LBR&WS),158.0,1.4,221.2
American Sign Language (ASL),78.33,2.33,182.78
Science Education (SCI EDU),78.33,1.33,104.44
Dutch,110.0,2.0,220.0
American Indian Studies (AM IND),141.0,1.2,169.2
Ancient Near East (AN N EA),85.56,1.89,161.6
Hindi-Urdu (HIN-URD),62.5,2.5,156.25
Community Health Sciences (COM HLT),143.7,1.33,191.6
"Religion, Study of (RELIGN)",83.08,2.08,172.54
Computational and Systems Biology (C&S BIO),110.0,1.67,183.33
English Composition (ENGCOMP),106.54,1.69,180.3
Serbian/Croatian (SRB CRO),62.5,2.0,125.0
Social Science (SOC SC),170.0,1.0,170.0
African Studies (AFRC ST),75.0,2.0,150.0
Molecular Biology (MOL BIO),112.0,1.4,156.8
Clusters (CLUSTER),76.36,2.09,159.67
Astronomy (ASTR),83.64,1.91,159.67
Philosophy (PHILOS),122.95,1.7,209.58
Military Science (MIL SCI),139.0,1.2,166.8
Hebrew,84.0,3.0,252.0
Geography (GEOG),95.38,1.69,161.42
Linguistics (LING),105.66,1.66,175.17
Communication (COMM),95.32,1.74,166.05
Physics,94.9,1.84,174.92
Architecture and Urban Design (ARCH&UD),184.17,1.75,322.29
Chemical Engineering (CH ENGR),85.17,1.48,126.29
"Microbiology, Immunology, and Molecular Genetics (MIMG)",89.64,1.93,172.88
Molecular Toxicology (MOL TOX),110.0,1.5,165.0
Arts Education (ARTS ED),138.33,1.33,184.44
English as A Second Language (ESL),110.0,2.0,220.0
Slavic (SLAVC),79.0,2.0,158.0
Film and Television (FILM TV),171.21,1.24,212.72
Society and Genetics (SOC GEN),71.43,1.86,132.65
Asian,120.71,1.57,189.69
Information Studies (INF STD),182.17,1.03,188.24
Management-Master of Science in Business Analytics (MGMTMSA),170.0,1.0,170.0
Digital Humanities (DGT HUM),155.0,1.0,155.0
Russian (RUSSN),75.0,2.07,155.36
