name,value
Parties, 0
Bioengineering (BIOENGR),3
Islamic Studies (ISLM ST),2
Life Sciences (LIFESCI),2
Education (EDUC),6
Music History (MSC HST),4
Engineering (ENGR),3
Civic Engagement (CIVIC),5
Conservation of Archaeological and Ethnographic Materials (CAEM),5
International Development Studies (INTL DV),5
Latin American Studies (LATN AM),5
Jewish Studies (JEWISH),2
Indo-European Studies (I E STD),2
Southeast Asian (SEASIAN),5
Aerospace Studies (AERO ST),3
Hungarian (HNGAR),3
Polish (POLSH),2
Turkic Languages (TURKIC),4
Neurobiology (NEURBIO),1
Mathematics (MATH),2
"Earth, Planetary, and Space Sciences (EPS SCI)",2
Disability Studies (DIS STD),4
Public Policy (PUB PLC),4
Scandinavian (SCAND),2
Environmental Health Sciences (ENV HLT),3
Iranian,2
Computer Science (COM SCI),3
Statistics (STATS),2
Electrical Engineering (EL ENGR),3
Sociology (SOCIOL),3
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS)",3
Civil and Environmental Engineering (C&EE),3
Neuroscience (Graduate) (NEURO),3
Political Science (POL SCI),3
Italian,2
Art,6
Nursing,5
University Studies (UNIV ST),3
History (HIST),3
Psychology (PSYCH),2
Chinese (CHIN),2
Vietnamese (VIETMSE),2
Chemistry and Biochemistry (CHEM),2
Physics and Biology in Medicine (PBMED),3
Physiological Science (PHYSCI),3
Korean (KOREA),3
Middle Eastern Studies (M E STD),2
Philosophy (PHILOS),3
Art History (ART HIS),4
